ADLOADINGTIME	ACCOUNTID	CAMPAIGNID	CREATIVEID	PLACEMENTID	TIMESTAMP	PLATFORM	PLATFORMVERSION	EXTERNALADSERVER	EXTERNALCREATIVEID	EXTERNALPLACEMENTID	EXTERNALSITEID	EXTERNALSUPPLIERID	INTENDEDDEVICETYPE	ACTUALDEVICETYPE	SDK	HOSTWINDOWHEIGHT	HOSTWINDOWWIDTH	TOPMOSTREACHABLEWINDOWHEIGHT	TOPMOSTREACHABLEWINDOWWIDTH	DEVICEORIENTATION	NETWORKTYPE	CDNNAME	CREATIVETYPE	GEOIP_LNG	GEOIP_LAT	GEOIP_TIMEZONE	GEOIP_COUNTRY	GEOIP_REGION	GEOIP_CITY	GEOIP_AREACODE	GEOIP_METROCODE	GEOIP_DMACODE	UA_HARDWARETYPE	UA_DEVICETYPE	UA_MOBILEDEVICE	UA_PLATFORM	UA_PLATFORMVERSION	UA_VENDOR	UA_MODEL	UA_OS	UA_OSVERSION	UA_BROWSER	UA_BROWSERVERSION	UA_BROWSERRENDERINGENGINE	FILESJSON	ERRORSJSON
21.73	a0776e9e61f79615d93907ec5710c9fa	ab0a0251add6aba71e800537c6a729c8	83361d7aa1757e5f8e9ed97b71a8c49b	f6297752e6cd8cd455c55d95c085035d	1459512046	Android	4.4.2	b46e86833f3f102dfeca4b7a13d6db21	null	null	null	null	Phone	Phone	6650fadcc0264109f8bd976558377652	0	0	0	0	0	null	a	Interstitial	-1.52471	12.3703	Africa/Ouagadougou	Burkina Faso	Kadiogo	Ouagadougou	null	null	null	Mobile Phone	Phone	1	Android	4.4.2	HTC	Desire 816	Android	4.4.2	Chrome Mobile	30.0.0.0	WebKit	[]	[]
2.753	a0776e9e61f79615d93907ec5710c9fa	ab0a0251add6aba71e800537c6a729c8	83361d7aa1757e5f8e9ed97b71a8c49b	f6297752e6cd8cd455c55d95c085035d	1459512068	Android	4.3	b46e86833f3f102dfeca4b7a13d6db21	null	null	null	null	Phone	Phone	6650fadcc0264109f8bd976558377652	615	360	615	360	0	null	c	Interstitial	9	34	Africa/Tunis	Tunisia	null	null	null	null	null	Mobile Phone	Phone	1	Android	4.3	Huawei	G630-U10	Android	4.3	Android Browser	4.0	WebKit	[]	[]
12.962	a0776e9e61f79615d93907ec5710c9fa	ab0a0251add6aba71e800537c6a729c8	83361d7aa1757e5f8e9ed97b71a8c49b	f6297752e6cd8cd455c55d95c085035d	1459512326	Android	4.1.2	b46e86833f3f102dfeca4b7a13d6db21	null	null	null	null	Phone	Phone	6650fadcc0264109f8bd976558377652	240	320	240	320	0	null	c	Interstitial	9	34	Africa/Tunis	Tunisia	null	null	null	null	null	Mobile Phone	Phone	1	Android	4.1.2	Samsung	GT-I8262	Android	4.1.2	Android Browser	4.0	WebKit	[]	[]
7.121	a0776e9e61f79615d93907ec5710c9fa	ab0a0251add6aba71e800537c6a729c8	83361d7aa1757e5f8e9ed97b71a8c49b	f6297752e6cd8cd455c55d95c085035d	1459512400	Android	4.3	b46e86833f3f102dfeca4b7a13d6db21	null	null	null	null	Phone	Phone	6650fadcc0264109f8bd976558377652	615	360	615	360	0	null	c	Interstitial	-5	8	Africa/Abidjan	Cote D'Ivoire	null	null	null	null	null	Mobile Phone	Phone	1	Android	4.3	Samsung	SM-G7102	Android	4.3	Android Browser	4.0	WebKit	[]	[]
4.301	a0776e9e61f79615d93907ec5710c9fa	ab0a0251add6aba71e800537c6a729c8	83361d7aa1757e5f8e9ed97b71a8c49b	f6297752e6cd8cd455c55d95c085035d	1459512504	Android	4.4.2	b46e86833f3f102dfeca4b7a13d6db21	null	null	null	null	Phone	Tablet	6650fadcc0264109f8bd976558377652	946	600	946	600	0	null	b	Interstitial	2.67779	49.0542	Europe/Paris	France	Ile-de-France	Dammartin-en-goële	null	null	null	Tablet	Tablet	1	Android	4.4.2	Huawei	T1-701u	Android	4.4.2	Chrome Mobile	30.0.0.0	WebKit	[]	[]
11.175	a0776e9e61f79615d93907ec5710c9fa	ab0a0251add6aba71e800537c6a729c8	83361d7aa1757e5f8e9ed97b71a8c49b	f6297752e6cd8cd455c55d95c085035d	1459512807	Android	4.4.2	b46e86833f3f102dfeca4b7a13d6db21	null	null	null	null	Phone	Phone	6650fadcc0264109f8bd976558377652	544	320	544	320	0	null	b	Interstitial	12	6	Africa/Lagos	Cameroon	null	null	null	null	null	Mobile Phone	Phone	1	Android	4.4.2	Star	A8	Android	4.4.2	Chrome Mobile	30.0.0.0	WebKit	[]	[]
9.833	a0776e9e61f79615d93907ec5710c9fa	ab0a0251add6aba71e800537c6a729c8	83361d7aa1757e5f8e9ed97b71a8c49b	f6297752e6cd8cd455c55d95c085035d	1459514010	Android	4.1.2	b46e86833f3f102dfeca4b7a13d6db21	null	null	null	null	Phone	Phone	6650fadcc0264109f8bd976558377652	240	320	240	320	0	null	a	Interstitial	9	34	Africa/Tunis	Tunisia	null	null	null	null	null	Mobile Phone	Phone	1	Android	4.1.2	Nokia	X	Android	4.1.2	Android Browser	4.0	WebKit	[]	[]
2.614	a0776e9e61f79615d93907ec5710c9fa	ab0a0251add6aba71e800537c6a729c8	83361d7aa1757e5f8e9ed97b71a8c49b	f6297752e6cd8cd455c55d95c085035d	1459514117	Android	4.4.2	b46e86833f3f102dfeca4b7a13d6db21	null	null	null	null	Phone	Phone	6650fadcc0264109f8bd976558377652	615	360	615	360	0	null	c	Interstitial	2.35	48.86	Europe/Paris	France	null	null	null	null	null	Mobile Phone	Phone	1	Android	4.4.2	Samsung	SM-G900F	Android	4.4.2	Android Browser	4.0	WebKit	[]	[]
2.61	a0776e9e61f79615d93907ec5710c9fa	ab0a0251add6aba71e800537c6a729c8	83361d7aa1757e5f8e9ed97b71a8c49b	f6297752e6cd8cd455c55d95c085035d	1459514603	Android	4.4.2	b46e86833f3f102dfeca4b7a13d6db21	null	null	null	null	Phone	Phone	6650fadcc0264109f8bd976558377652	508	320	508	320	0	null	a	Interstitial	-5	32	Africa/Casablanca	Morocco	null	null	null	null	null	Mobile Phone	Phone	1	Android	4.4.2	Samsung	SM-G355HN	Android	4.4.2	Chrome Mobile	30.0.0.0	WebKit	[]	[]
58.08	a0776e9e61f79615d93907ec5710c9fa	ab0a0251add6aba71e800537c6a729c8	83361d7aa1757e5f8e9ed97b71a8c49b	f6297752e6cd8cd455c55d95c085035d	1459514852	Android	5.1.1	b46e86833f3f102dfeca4b7a13d6db21	null	null	null	null	Phone	Phone	6650fadcc0264109f8bd976558377652	0	0	0	0	0	null	b	Interstitial	-8	12.64999	Africa/Bamako	Mali	Bamako	Bamako	null	null	null	Mobile Phone	Phone	1	Android	5.1.1	Samsung	SM-G361HU	Android	5.1.1	Chrome Mobile	48.0.2564.106	WebKit	[]	[]
